agency,city,state,ntd_id,organization_type,reporter_type,report_year,uace_code,uza_name,primary_uza_population,agency_voms,modecd,mode_name,typeofservicecd,mode_voms,form_type,guideway,guideway_questionable,stations,stations_questionable,administrative_buildings,administrative_buildings_1,maintenance_buildings,maintenance_buildings_1,passenger_vehicles,passenger_vehicles_1,other_vehicles,other_vehicles_questionable,fare_collection_equipment,fare_collection_equipment_1,communication_information,communication_information_1,other,other_questionable,reduced_reporter,reduced_reporter_questionable,total,total_questionable
"Southwestern Community Services Transportation, dba: Southwestern Community Services",Keene,NH,11156,Private-Non-Profit Corporation,Rural Reporter,2024,,,,7.0,DR,Demand Response,DO,2.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Peter Pan Bus Lines, dba: Peter Pan",Springfield,MA,11160,Private-For-Profit Corporation,Full Reporter,2024,9271.0,"Boston, MA--NH",4382009.0,10.0,CB,Commuter Bus,DO,10.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Peter Pan Bus Lines, dba: Peter Pan",Springfield,MA,11160,Private-For-Profit Corporation,Full Reporter,2024,9271.0,"Boston, MA--NH",4382009.0,10.0,CB,Commuter Bus,DO,10.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Downeast Community Partners, Inc.",Ellsworth,ME,11161,Private-Non-Profit Corporation,Rural Reporter,2024,,,,24.0,DR,Demand Response,DO,24.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Maine Department of Transportation,Augusta,ME,11235,State Government Unit or Department of Transportation,Rural Reporter,2024,,,,7.0,FB,Ferryboat,DO,7.0,Reduced Reporting (RR-20) - General Public Transit,0,,0,,0,,0,,0,,0,,0,,0,,0,,9258440,,9258440,
"Hyannis Harbor Tours, Inc., dba: Hy-Line Cruises",Hyannis,MA,11239,Private-For-Profit Corporation,Full Reporter,2024,5167.0,"Barnstable Town, MA",303269.0,4.0,FB,Ferryboat,DO,4.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Hyannis Harbor Tours, Inc., dba: Hy-Line Cruises",Hyannis,MA,11239,Private-For-Profit Corporation,Full Reporter,2024,5167.0,"Barnstable Town, MA",303269.0,4.0,FB,Ferryboat,DO,4.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,13048,,0,,0,,610052,,0,,53751,,0,,0,,0,,676851,
Vermont Agency of Transportation,Barre,VT,11246,State Government Unit or Department of Transportation,Reduced Reporter,2024,11755.0,"Burlington, VT",118032.0,12.0,VP,Vanpool,PT,12.0,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Capital District Transportation Authority,Albany,NY,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,970.0,"Albany--Schenectady, NY",593142.0,363.0,DR,Demand Response,PT,63.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Capital District Transportation Authority,Albany,NY,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,970.0,"Albany--Schenectady, NY",593142.0,363.0,VP,Vanpool,PT,35.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Capital District Transportation Authority,Albany,NY,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,970.0,"Albany--Schenectady, NY",593142.0,363.0,VP,Vanpool,PT,35.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Capital District Transportation Authority,Albany,NY,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,970.0,"Albany--Schenectady, NY",593142.0,363.0,MB,Bus,DO,224.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Capital District Transportation Authority,Albany,NY,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,970.0,"Albany--Schenectady, NY",593142.0,363.0,MB,Bus,DO,224.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,6059721,,5828284,,0,,1927494,,19205255,,541025,,0,,2525630,,0,,0,,36087409,
Capital District Transportation Authority,Albany,NY,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,970.0,"Albany--Schenectady, NY",593142.0,363.0,DR,Demand Response,PT,63.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Capital District Transportation Authority,Albany,NY,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,970.0,"Albany--Schenectady, NY",593142.0,363.0,DR,Demand Response,DO,32.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,626153,,0,,0,,0,,0,,0,,626153,
Capital District Transportation Authority,Albany,NY,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,970.0,"Albany--Schenectady, NY",593142.0,363.0,DR,Demand Response,DO,32.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Capital District Transportation Authority,Albany,NY,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,970.0,"Albany--Schenectady, NY",593142.0,363.0,CB,Commuter Bus,PT,9.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Capital District Transportation Authority,Albany,NY,20002,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,970.0,"Albany--Schenectady, NY",593142.0,363.0,CB,Commuter Bus,PT,9.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Broome County, dba: BC Transit",Binghamton,NY,20003,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,7732.0,"Binghamton, NY",155942.0,54.0,DR,Demand Response,DO,16.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,600000,,0,,0,,0,,0,,0,,600000,
"Broome County, dba: BC Transit",Binghamton,NY,20003,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,7732.0,"Binghamton, NY",155942.0,54.0,DR,Demand Response,DO,16.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Broome County, dba: BC Transit",Binghamton,NY,20003,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,7732.0,"Binghamton, NY",155942.0,54.0,MB,Bus,DO,38.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Broome County, dba: BC Transit",Binghamton,NY,20003,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,7732.0,"Binghamton, NY",155942.0,54.0,MB,Bus,DO,38.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,60366,,21797,,3307524,,14903,,0,,0,,262663,,0,,3667253,
"Niagara Frontier Transportation Authority, dba: NFTA - Metro Bus & Rail",Buffalo,NY,20004,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,11350.0,"Buffalo, NY",948864.0,285.0,MB,Bus,DO,202.0,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Niagara Frontier Transportation Authority, dba: NFTA - Metro Bus & Rail",Buffalo,NY,20004,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,11350.0,"Buffalo, NY",948864.0,285.0,MB,Bus,DO,202.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,1485737,,0,,2267695,,23592365,,1316169,,362928,,1442827,,7986921,,0,,38454642,
"Niagara Frontier Transportation Authority, dba: NFTA - Metro Bus & Rail",Buffalo,NY,20004,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,11350.0,"Buffalo, NY",948864.0,285.0,DR,Demand Response,DO,62.0,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,0,,0,,0,,0,,300413,,0,,300413,
